MethStat	context	C	CG	CHG	CHH	CA	CC	CT	CH	CW
mean_mC_byChr	Cluster_5033_0	0.0436	0.0179	0.0553	0.0442	0.0662	0.0944	0.0213	0.0461	0.0325
mean_mC_byChr	Cluster_5033_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5033_2	0.0058	NaN	0.0000	0.0066	0.0111	0.0119	0.0000	0.0058	0.0037
mean_mC_byChr	Cluster_5034_0	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5035_0	0.0086	0.0087	0.0040	0.0101	0.0150	0.0162	0.0019	0.0086	0.0066
mean_mC_byChr	Cluster_5036_0	0.0152	0.0239	0.0048	0.0148	0.0063	0.0228	0.0136	0.0136	0.0111
mean_mC_byChr	Cluster_5036_1	0.0046	0.0043	0.0058	0.0039	0.0031	0.0038	0.0051	0.0046	0.0044
mean_mC_byChr	Cluster_5037_0	0.0119	0.0000	0.0000	0.0132	0.0171	0.0182	0.0027	0.0127	0.0095
mean_mC_byChr	Cluster_5038_0	0.0147	0.0154	0.0043	0.0166	0.0193	0.0212	0.0079	0.0146	0.0120
mean_mC_byChr	Cluster_5039_0	0.0076	0.0000	0.0000	0.0101	0.0000	0.0000	0.0114	0.0091	0.0101
mean_mC_byChr	Cluster_5039_1	0.0174	0.0123	0.0000	0.0197	0.0000	0.0521	0.0070	0.0179	0.0064
mean_mC_byChr	Cluster_503_0	0.0492	0.0501	0.0830	0.0413	0.0116	0.1130	0.0303	0.0489	0.0179
mean_mC_byChr	Cluster_5040_0	0.0028	0.0000	0.0000	0.0035	0.0000	0.0033	0.0048	0.0033	0.0033
mean_mC_byChr	Cluster_5041_0	0.0218	0.0833	0.0000	0.0182	0.0000	0.0000	0.0303	0.0130	0.0227
mean_mC_byChr	Cluster_5042_0	0.0077	0.0000	0.0769	0.0000	0.0000	0.0000	0.0256	0.0085	0.0096
mean_mC_byChr	Cluster_5044_0	0.0073	0.0833	NaN	0.0040	0.0114	0.0000	0.0000	0.0040	0.0048
mean_mC_byChr	Cluster_5045_0	0.0088	0.0045	0.0030	0.0105	0.0016	0.0023	0.0130	0.0095	0.0109
mean_mC_byChr	Cluster_5046_0	0.0064	NaN	NaN	0.0064	0.0256	0.0000	0.0000	0.0064	0.0085
mean_mC_byChr	Cluster_5047_0	0.0096	0.0000	0.0182	0.0092	0.0165	0.0041	0.0109	0.0103	0.0126
mean_mC_byChr	Cluster_5048_0	0.0276	0.0250	0.0000	0.0318	0.0875	0.0000	0.0000	0.0280	0.0368
mean_mC_byChr	Cluster_5049_0	0.0047	0.0000	0.0000	0.0057	0.0025	0.0083	0.0045	0.0050	0.0034
mean_mC_byChr	Cluster_5051_0	0.0036	0.0021	0.0000	0.0050	0.0063	0.0083	0.0000	0.0044	0.0031
mean_mC_byChr	Cluster_5052_0	0.0137	0.0027	0.0000	0.0209	0.0253	0.0000	0.0228	0.0180	0.0242
mean_mC_byChr	Cluster_5053_1	0.0135	0.0175	0.0000	0.0138	0.0168	0.0233	0.0054	0.0132	0.0079
mean_mC_byChr	Cluster_5053_2	0.0400	0.0000	0.0000	0.0667	0.0000	0.1000	0.0000	0.0500	0.0000
mean_mC_byChr	Cluster_5054_0	0.0327	NaN	0.0769	0.0278	0.0000	0.0556	0.0267	0.0327	0.0229
mean_mC_byChr	Cluster_5056_0	0.0094	0.0000	0.0048	0.0121	0.0086	0.0141	0.0130	0.0111	0.0107
mean_mC_byChr	Cluster_5056_1	0.0057	0.0000	0.0000	0.0084	0.0089	0.0000	0.0124	0.0076	0.0115
mean_mC_byChr	Cluster_5057_0	0.0101	NaN	NaN	0.0101	0.0227	0.0000	0.0000	0.0101	0.0130
mean_mC_byChr	Cluster_5058_0	0.0324	0.0000	NaN	0.0345	0.1158	0.0000	0.0000	0.0345	0.0477
mean_mC_byChr	Cluster_5059_0	0.0579	NaN	NaN	0.0579	0.0756	0.0000	0.0192	0.0579	0.0615
mean_mC_byChr	Cluster_505_0	0.0015	0.0000	0.0000	0.0021	0.0000	0.0000	0.0034	0.0017	0.0021
mean_mC_byChr	Cluster_5060_0	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5061_0	0.0150	0.0000	0.0000	0.0168	0.0299	0.0187	0.0108	0.0157	0.0152
mean_mC_byChr	Cluster_5062_0	0.0215	0.0888	0.0134	0.0157	0.0005	0.0237	0.0177	0.0153	0.0131
