MethStat	context	C	CG	CHG	CHH	CA	CC	CT	CH	CW
mean_mC_byChr	Cluster_917_15298	0.0076	NaN	0.0000	0.0101	0.0000	NaN	0.0227	0.0076	0.0083
mean_mC_byChr	Cluster_917_15299	0.0045	0.0050	0.0056	0.0039	0.0038	0.0068	0.0022	0.0043	0.0029
mean_mC_byChr	Cluster_917_15300	0.0015	0.0005	0.0007	0.0023	0.0019	0.0022	0.0018	0.0019	0.0019
mean_mC_byChr	Cluster_917_15301	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15303	0.0020	0.0000	0.0000	0.0027	0.0066	0.0000	0.0000	0.0024	0.0029
mean_mC_byChr	Cluster_917_15305	0.0037	0.0015	0.0072	0.0038	0.0058	0.0024	0.0043	0.0044	0.0050
mean_mC_byChr	Cluster_917_15306	0.0139	NaN	NaN	0.0139	0.0833	NaN	0.0000	0.0139	0.0139
mean_mC_byChr	Cluster_917_15307	0.0019	0.0000	0.0012	0.0030	0.0016	0.0041	0.0029	0.0026	0.0023
mean_mC_byChr	Cluster_917_15309	0.0014	0.0000	0.0000	0.0033	0.0021	0.0045	0.0014	0.0024	0.0017
mean_mC_byChr	Cluster_917_15310	0.0035	0.0048	0.0063	0.0026	0.0035	0.0043	0.0022	0.0033	0.0028
mean_mC_byChr	Cluster_917_15312	0.0085	0.0000	0.0000	0.0102	0.0210	0.0103	0.0049	0.0097	0.0094
mean_mC_byChr	Cluster_917_15314	0.0051	0.0035	0.0039	0.0057	0.0065	0.0047	0.0047	0.0055	0.0056
mean_mC_byChr	Cluster_917_15315	0.0016	0.0000	0.0000	0.0021	0.0000	0.0051	0.0000	0.0018	0.0000
mean_mC_byChr	Cluster_917_15316	0.0042	0.0048	0.0038	0.0041	0.0047	0.0047	0.0029	0.0040	0.0039
mean_mC_byChr	Cluster_917_15317	0.0051	0.0037	0.0036	0.0058	0.0045	0.0043	0.0068	0.0055	0.0058
mean_mC_byChr	Cluster_917_15318	0.0335	0.2778	0.0067	0.0065	0.0076	0.0092	0.0033	0.0065	0.0058
mean_mC_byChr	Cluster_917_15319	0.0000	NaN	NaN	0.0000	0.0000	NaN	NaN	0.0000	0.0000
mean_mC_byChr	Cluster_917_15320	0.0136	0.0629	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15321	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15322	0.0238	0.2560	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15323	0.0149	0.0853	0.0039	0.0054	0.0079	0.0018	0.0031	0.0052	0.0058
mean_mC_byChr	Cluster_917_15324	0.0145	0.0867	0.0042	0.0026	0.0031	0.0020	0.0030	0.0029	0.0031
mean_mC_byChr	Cluster_917_15327	0.0032	0.0026	0.0013	0.0039	0.0037	0.0037	0.0028	0.0034	0.0033
mean_mC_byChr	Cluster_917_15328	0.0027	0.0041	0.0090	0.0009	0.0039	0.0051	0.0000	0.0023	0.0018
mean_mC_byChr	Cluster_917_15329	0.0031	0.0035	0.0043	0.0024	0.0033	0.0038	0.0017	0.0028	0.0025
mean_mC_byChr	Cluster_917_15330	0.0320	0.2594	0.0026	0.0019	0.0015	0.0022	0.0025	0.0021	0.0020
mean_mC_byChr	Cluster_917_15332	0.0017	0.0020	0.0000	0.0021	0.0032	0.0000	0.0000	0.0015	0.0017
mean_mC_byChr	Cluster_917_15333	0.0024	0.0072	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15336	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15338	0.0010	0.0021	0.0000	0.0005	0.0004	0.0000	0.0008	0.0005	0.0006
mean_mC_byChr	Cluster_917_15339_36_0_988748	0.0408	0.6887	0.0075	0.0019	0.0038	0.0143	0.0000	0.0034	0.0022
mean_mC_byChr	Cluster_917_1534	0.0013	0.0000	0.0000	0.0016	0.0014	0.0045	0.0000	0.0014	0.0007
mean_mC_byChr	Cluster_917_15340	0.0162	NaN	0.0714	0.0101	0.0714	NaN	0.0101	0.0162	0.0162
mean_mC_byChr	Cluster_917_15341	0.0139	NaN	0.0000	0.0150	0.0000	NaN	0.0150	0.0139	0.0139
mean_mC_byChr	Cluster_917_15344	0.0144	0.1477	0.0042	0.0029	0.0043	0.0012	0.0025	0.0031	0.0035
mean_mC_byChr	Cluster_917_15346	0.0048	0.0096	0.0000	0.0044	0.0023	0.0000	0.0071	0.0038	0.0042
mean_mC_byChr	Cluster_917_15347	0.0000	NaN	NaN	0.0000	0.0000	NaN	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15348	0.0000	NaN	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_1535	0.0033	NaN	0.0000	0.0037	0.0022	0.0031	0.0056	0.0033	0.0033
mean_mC_byChr	Cluster_917_15351	0.0159	0.1242	0.0018	0.0024	0.0026	0.0014	0.0023	0.0023	0.0025
mean_mC_byChr	Cluster_917_15352	0.0021	0.0024	0.0005	0.0025	0.0027	0.0018	0.0016	0.0021	0.0022
mean_mC_byChr	Cluster_917_15354	0.0020	0.0006	0.0019	0.0022	0.0018	0.0033	0.0016	0.0025	0.0017
mean_mC_byChr	Cluster_917_15355	0.0013	0.0000	0.0000	0.0015	0.0019	0.0021	0.0000	0.0013	0.0011
mean_mC_byChr	Cluster_917_15357	0.0067	0.0513	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15359	0.0172	0.1491	0.0059	0.0045	0.0060	0.0041	0.0037	0.0048	0.0049
mean_mC_byChr	Cluster_917_1536	0.0036	NaN	0.0000	0.0040	0.0056	0.0000	0.0031	0.0036	0.0045
mean_mC_byChr	Cluster_917_15360	0.0221	0.2143	0.0294	0.0156	0.0060	0.0071	0.0251	0.0164	0.0203
mean_mC_byChr	Cluster_917_15362	0.0023	0.0016	0.0013	0.0029	0.0027	0.0037	0.0020	0.0026	0.0023
mean_mC_byChr	Cluster_917_15364	0.0041	0.0000	0.0000	0.0056	0.0175	0.0000	0.0065	0.0048	0.0089
mean_mC_byChr	Cluster_917_15366	0.0037	0.0000	0.0000	0.0045	0.0062	0.0000	0.0026	0.0041	0.0046
mean_mC_byChr	Cluster_917_15367	0.0043	0.0041	0.0047	0.0043	0.0051	0.0045	0.0038	0.0044	0.0044
mean_mC_byChr	Cluster_917_15368	0.0039	0.0027	0.0006	0.0052	0.0052	0.0045	0.0038	0.0044	0.0044
mean_mC_byChr	Cluster_917_15370	0.0030	0.0000	0.0000	0.0050	0.0037	0.0000	0.0061	0.0041	0.0051
mean_mC_byChr	Cluster_917_15371	0.0180	0.0000	0.0000	0.0241	0.0323	0.0171	0.0180	0.0208	0.0222
mean_mC_byChr	Cluster_917_15372	0.0021	0.0052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15375	0.0031	0.0074	0.0020	0.0018	0.0020	0.0011	0.0024	0.0019	0.0022
mean_mC_byChr	Cluster_917_15376	0.0025	0.0008	0.0016	0.0032	0.0034	0.0023	0.0030	0.0030	0.0032
mean_mC_byChr	Cluster_917_15377	0.0000	NaN	NaN	0.0000	NaN	NaN	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15379	0.0018	0.0018	0.0018	0.0018	0.0025	0.0027	0.0000	0.0017	0.0014
mean_mC_byChr	Cluster_917_15380	0.0019	0.0041	0.0000	0.0014	0.0022	0.0000	0.0000	0.0012	0.0014
mean_mC_byChr	Cluster_917_15382	0.0000	NaN	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15383	0.0024	0.0015	0.0027	0.0030	0.0014	0.0000	0.0051	0.0028	0.0033
mean_mC_byChr	Cluster_917_15384	0.0025	0.0043	0.0030	0.0000	0.0000	0.0027	0.0000	0.0009	0.0000
mean_mC_byChr	Cluster_917_15386	0.0031	0.0000	0.0000	0.0084	0.0074	0.0000	0.0000	0.0042	0.0045
mean_mC_byChr	Cluster_917_15387	0.0020	0.0000	0.0000	0.0037	0.0051	0.0000	0.0027	0.0030	0.0040
mean_mC_byChr	Cluster_917_15389	0.0000	NaN	NaN	0.0000	NaN	NaN	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15390	0.0000	NaN	NaN	0.0000	NaN	NaN	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15391	0.0039	0.0034	0.0033	0.0045	0.0030	0.0087	0.0024	0.0042	0.0027
mean_mC_byChr	Cluster_917_15394	0.0027	0.0028	0.0028	0.0026	0.0031	0.0028	0.0022	0.0027	0.0026
mean_mC_byChr	Cluster_917_15396	0.0040	0.0086	0.0102	0.0029	0.0077	0.0000	0.0012	0.0037	0.0043
mean_mC_byChr	Cluster_917_15397	0.0078	0.0063	0.0045	0.0080	0.0064	0.0036	0.0094	0.0084	0.0084
mean_mC_byChr	Cluster_917_15398	0.0018	0.0012	0.0027	0.0019	0.0022	0.0023	0.0016	0.0020	0.0019
mean_mC_byChr	Cluster_917_15399	0.0000	NaN	NaN	0.0000	0.0000	NaN	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_154	0.0185	0.0170	0.0079	0.0232	0.0083	0.0252	0.0173	0.0190	0.0155
mean_mC_byChr	Cluster_917_15400	0.0033	0.0022	0.0059	0.0033	0.0065	0.0030	0.0020	0.0038	0.0041
mean_mC_byChr	Cluster_917_15401	0.0555	0.8805	0.0119	0.0093	0.0077	0.0000	0.0166	0.0097	0.0116
mean_mC_byChr	Cluster_917_15404	0.0124	0.0498	0.0028	0.0050	0.0044	0.0017	0.0058	0.0046	0.0051
mean_mC_byChr	Cluster_917_15405	0.0082	0.0262	0.0000	0.0062	0.0076	0.0000	0.0063	0.0050	0.0069
mean_mC_byChr	Cluster_917_15407	0.0024	0.0046	0.0000	0.0023	0.0027	0.0022	0.0008	0.0020	0.0020
mean_mC_byChr	Cluster_917_15408	0.0060	0.0140	0.0000	0.0041	0.0000	0.0000	0.0074	0.0030	0.0035
mean_mC_byChr	Cluster_917_15409	0.0048	0.0000	0.0000	0.0062	0.0036	0.0031	0.0077	0.0054	0.0060
mean_mC_byChr	Cluster_917_1541	0.0022	0.0017	0.0025	0.0023	0.0027	0.0035	0.0015	0.0024	0.0020
mean_mC_byChr	Cluster_917_15410	0.0177	0.0000	0.0000	0.0203	0.0325	0.0119	0.0182	0.0189	0.0216
mean_mC_byChr	Cluster_917_15411	0.0179	0.1212	0.0000	0.0117	0.0069	0.0245	0.0089	0.0112	0.0084
mean_mC_byChr	Cluster_917_15412	0.0068	0.0000	0.0000	0.0080	0.0000	0.0143	0.0121	0.0074	0.0058
mean_mC_byChr	Cluster_917_15413	0.0022	0.0009	0.0047	0.0023	0.0047	0.0022	0.0015	0.0028	0.0030
mean_mC_byChr	Cluster_917_15414	0.0028	0.0023	0.0021	0.0033	0.0043	0.0028	0.0020	0.0030	0.0031
mean_mC_byChr	Cluster_917_15416	0.0021	0.0030	0.0018	0.0017	0.0031	0.0000	0.0011	0.0017	0.0023
mean_mC_byChr	Cluster_917_15418	0.0015	0.0008	0.0037	0.0014	0.0019	0.0000	0.0028	0.0017	0.0023
mean_mC_byChr	Cluster_917_15419	0.0011	NaN	0.0000	0.0013	0.0025	0.0000	0.0000	0.0011	0.0012
mean_mC_byChr	Cluster_917_1542	0.0055	0.0148	0.0000	0.0044	0.0019	0.0040	0.0048	0.0040	0.0040
mean_mC_byChr	Cluster_917_15421	0.0263	0.0000	NaN	0.0315	0.0667	0.0000	0.0303	0.0315	0.0394
mean_mC_byChr	Cluster_917_15422	0.0066	0.0048	0.0000	0.0076	0.0153	0.0000	0.0000	0.0071	0.0081
mean_mC_byChr	Cluster_917_15424	0.0047	0.0012	0.0000	0.0063	0.0072	0.0114	0.0011	0.0056	0.0041
mean_mC_byChr	Cluster_917_15425	0.0022	0.0022	0.0022	0.0022	0.0023	0.0016	0.0025	0.0022	0.0024
mean_mC_byChr	Cluster_917_15427	0.0032	0.0025	0.0038	0.0034	0.0030	0.0032	0.0042	0.0035	0.0036
mean_mC_byChr	Cluster_917_15428	0.0398	0.5455	0.0000	0.0162	0.0000	0.0536	0.0154	0.0146	0.0048
mean_mC_byChr	Cluster_917_1543	0.0095	0.0513	0.0000	0.0040	0.0032	0.0028	0.0051	0.0038	0.0041
